=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2019.12.16 14:26:30 =~=~=~=~=~=~=~=~=~=~=~=
Nano ready to recieve! :)

174.24 , 191.22 , 174.33 , -1.83 , 0.23 , 0.00 , 79653

172.83 , 194.13 , 172.83 , -1.60 , 0.46 , 0.00 , 79952

171.34 , 197.21 , 171.34 , -1.83 , 0.92 , 0.00 , 80251

169.84 , 200.02 , 170.02 , -1.60 , 0.46 , 0.00 , 80551

168.43 , 202.93 , 168.61 , -1.37 , 0.46 , 0.00 , 80850

167.11 , 205.74 , 167.29 , -1.37 , 0.69 , 0.00 , 81150

165.79 , 208.47 , 165.97 , -1.37 , 0.69 , 0.00 , 81449

164.38 , 211.11 , 164.65 , -1.83 , 0.46 , 0.00 , 81750

163.15 , 213.66 , 163.42 , -1.60 , 0.46 , 0.00 , 82049

161.92 , 216.13 , 162.18 , -1.60 , 0.46 , 0.00 , 82348

160.78 , 218.50 , 161.13 , -1.60 , 0.46 , 0.00 , 82648

159.46 , 220.79 , 160.07 , -1.60 , 0.00 , 0.00 , 82947

158.40 , 223.08 , 158.84 , -1.37 , 0.46 , 0.00 , 83247

157.26 , 225.10 , 157.96 , -0.92 , 0.00 , 0.00 , 83546

156.38 , 226.95 , 156.99 , -1.37 , 0.46 , 0.00 , 83846

155.50 , 228.80 , 156.20 , -1.37 , 0.46 , 0.00 , 84145

154.44 , 230.47 , 155.32 , -0.92 , 0.00 , 0.00 , 84445

153.65 , 232.14 , 154.53 , -0.46 , 0.00 , 0.00 , 84744

152.86 , 233.55 , 153.91 , -0.46 , 0.00 , 0.00 , 85043

152.15 , 234.96 , 153.21 , -0.46 , 0.00 , 0.00 , 85343

151.62 , 236.10 , 152.59 , -0.46 , 0.00 , 0.00 , 85642

150.92 , 237.16 , 152.06 , -0.46 , 0.00 , 0.00 , 85942

150.48 , 238.04 , 151.62 , 0.00 , 0.00 , 0.00 , 86241

150.22 , 238.92 , 151.36 , 0.00 , 0.00 , 0.00 , 86540

149.86 , 239.62 , 150.92 , -0.23 , 0.00 , 0.00 , 86840

149.51 , 240.15 , 150.66 , 0.00 , 0.00 , 0.00 , 87139

149.42 , 240.42 , 150.48 , 0.00 , 0.00 , 0.00 , 87438

149.42 , 240.42 , 150.48 , 0.00 , 0.00 , 0.00 , 87737

149.42 , 240.42 , 150.48 , 0.00 , 0.00 , 0.00 , 88037

149.42 , 240.50 , 150.48 , 0.00 , 0.00 , 0.00 , 88336

149.42 , 240.50 , 150.48 , 0.00 , 0.00 , 0.00 , 88635

149.42 , 240.50 , 150.48 , 0.00 , 0.00 , 0.00 , 88935

149.42 , 240.42 , 150.48 , 0.00 , 0.00 , 0.00 , 89234

149.42 , 240.33 , 150.57 , 0.00 , 0.00 , 0.00 , 89533

149.42 , 240.06 , 150.83 , 0.00 , 0.00 , 0.00 , 89833

149.42 , 239.01 , 151.27 , 0.00 , -0.46 , 0.00 , 90132

149.51 , 238.13 , 151.89 , 0.00 , -0.92 , 0.00 , 90431

149.69 , 236.98 , 152.50 , 0.00 , -0.46 , 0.00 , 90731

150.13 , 235.66 , 153.12 , 0.46 , -0.46 , 0.00 , 91030

150.83 , 234.08 , 153.82 , 0.00 , -0.46 , 0.00 , 91330

151.80 , 232.41 , 154.62 , 0.46 , -1.37 , 0.00 , 91629

152.77 , 230.47 , 155.50 , 0.46 , -0.92 , 0.00 , 91929

153.56 , 228.89 , 156.38 , 0.00 , -0.92 , 0.00 , 92228

154.62 , 226.69 , 157.34 , 0.00 , -0.92 , 0.00 , 92527

155.41 , 224.75 , 158.31 , 0.69 , -0.92 , 0.00 , 92827

156.55 , 222.55 , 159.37 , 1.14 , -1.14 , 0.00 , 93126

157.96 , 220.26 , 160.42 , 0.00 , -0.92 , 0.00 , 93426

158.93 , 217.62 , 161.57 , 0.69 , -0.92 , 0.00 , 93725

159.81 , 215.07 , 162.80 , 0.69 , -1.37 , 0.00 , 94024

161.48 , 212.52 , 164.03 , 1.37 , -1.14 , 0.00 , 94324

163.24 , 209.97 , 165.35 , 0.92 , -0.92 , 0.00 , 94623

164.47 , 207.15 , 166.67 , 0.92 , -1.60 , 0.00 , 94923

165.70 , 204.07 , 167.99 , 1.37 , -1.37 , 0.00 , 95222

167.11 , 201.17 , 169.31 , 1.83 , -0.92 , 0.00 , 95521

168.70 , 198.44 , 170.63 , 1.37 , -1.37 , 0.00 , 95821

